Query,SQL
What is our current overall fill rate vs 60 days ago?,"SELECT CASE WHEN order_date < (SELECT MAX(snapshot_date) FROM inventory_daily)::DATE - INTERVAL 60 DAY THEN 'prior_period' ELSE 'recent_period' END AS period, COUNT(CASE WHEN qty_shipped = qty_ordered AND status != 'cancelled' THEN 1 END) * 100.0 / NULLIF(COUNT(CASE WHEN status != 'cancelled' THEN 1 END), 0) AS fill_rate_pct FROM sales_orders GROUP BY 1 ORDER BY 1"
Which product categories have the most backorders right now?,"SELECT p.category, COUNT(*) AS backorder_count, SUM(so.revenue) AS revenue_at_risk FROM sales_orders so JOIN products p ON so.product_id = p.product_id WHERE so.status = 'backordered' GROUP BY p.category ORDER BY revenue_at_risk DESC"
Which specific SKUs are backordered and what is their ABC classification?,"SELECT p.product_id, p.name, p.abc_class, p.category, COUNT(*) AS backorder_lines, SUM(so.qty_backordered) AS total_qty_backordered, SUM(so.revenue) AS revenue_at_risk FROM sales_orders so JOIN products p ON so.product_id = p.product_id WHERE so.status = 'backordered' GROUP BY p.product_id, p.name, p.abc_class, p.category ORDER BY revenue_at_risk DESC"
What is the current inventory position for our backordered products?,"SELECT i.product_id, p.name, i.warehouse_id, i.qty_on_hand, i.qty_available, i.qty_in_transit, i.days_of_supply, i.reorder_flag FROM inventory_daily i JOIN products p ON i.product_id = p.product_id WHERE i.snapshot_date = (SELECT MAX(snapshot_date) FROM inventory_daily) AND i.product_id IN (SELECT DISTINCT product_id FROM sales_orders WHERE status = 'backordered') ORDER BY i.days_of_supply ASC"
Are there any open purchase orders for our stockout products and who are the suppliers?,"SELECT po.po_id, po.supplier_id, s.name AS supplier_name, po.product_id, po.order_date, po.promised_delivery_date, po.qty_ordered, po.status, DATEDIFF('day', po.promised_delivery_date, (SELECT MAX(snapshot_date) FROM inventory_daily)) AS days_overdue FROM purchase_orders po JOIN suppliers s ON po.supplier_id = s.supplier_id WHERE po.status = 'open' AND po.product_id IN (SELECT DISTINCT product_id FROM sales_orders WHERE status = 'backordered') ORDER BY days_overdue DESC"
How has Apex Components OTIF trended over the last 6 months?,"SELECT month, otif_pct, avg_lead_time_days, reject_rate_pct, risk_rating FROM supplier_scorecards WHERE supplier_id = 'SUP-1001' ORDER BY month DESC LIMIT 6"
How does Apex Components compare to GlobalParts Inc on delivery performance?,"SELECT sc.supplier_id, s.name, AVG(sc.otif_pct) AS avg_otif, AVG(sc.reject_rate_pct) AS avg_reject_rate, AVG(sc.avg_lead_time_days) AS avg_lead_time, MAX(sc.risk_rating) AS current_risk_rating FROM supplier_scorecards sc JOIN suppliers s ON sc.supplier_id = s.supplier_id WHERE sc.supplier_id IN ('SUP-1001', 'SUP-1002') AND sc.month >= (SELECT MAX(snapshot_date) FROM inventory_daily)::DATE - INTERVAL 180 DAY GROUP BY sc.supplier_id, s.name"
How long has Apex been below the 92% OTIF SLA threshold?,"SELECT month, otif_pct, CASE WHEN otif_pct < 0.92 THEN 'BELOW SLA' ELSE 'COMPLIANT' END AS sla_status FROM supplier_scorecards WHERE supplier_id = 'SUP-1001' ORDER BY month DESC LIMIT 12"
Where is our excess inventory concentrated and what is the total value?,"SELECT w.name AS warehouse_name, p.category, COUNT(DISTINCT i.product_id) AS sku_count, SUM(i.qty_on_hand * p.unit_cost) AS inventory_value, AVG(i.days_of_supply) AS avg_days_of_supply FROM inventory_daily i JOIN products p ON i.product_id = p.product_id JOIN warehouses w ON i.warehouse_id = w.warehouse_id WHERE i.snapshot_date = (SELECT MAX(snapshot_date) FROM inventory_daily) AND i.days_of_supply > 60 GROUP BY w.name, p.category ORDER BY inventory_value DESC"
How accurate were our demand forecasts by method for Industrial Fasteners?,"SELECT f.forecast_method, COUNT(*) AS forecast_count, AVG(ABS(f.forecast_qty - a.actual_qty)) AS avg_abs_error, AVG(f.forecast_qty - a.actual_qty) AS avg_bias FROM demand_forecast f JOIN (SELECT product_id, DATE_TRUNC('month', order_date) AS month, SUM(qty_ordered) AS actual_qty FROM sales_orders GROUP BY 1, 2) a ON f.product_id = a.product_id AND DATE_TRUNC('month', f.period_start) = a.month WHERE f.product_id LIKE 'IF-%' GROUP BY f.forecast_method ORDER BY avg_abs_error"
