product_id,sku,name,category,subcategory,unit_cost,unit_price,abc_class,reorder_point,safety_stock_days,lead_time_days,weight_kg,is_active
EC-1847,EC-1847,High-Voltage Relay Module,Electrical Components,Electrical Components,84.5,142.0,A,8.0,14,25,2.1,True
EC-2291,EC-2291,Industrial Circuit Breaker 30A,Electrical Components,Electrical Components,67.2,112.0,A,6.5,14,8,1.8,True
EC-3004,EC-3004,Brushless Motor Controller,Electrical Components,Electrical Components,125.0,209.0,A,12.0,14,5,3.2,True
EC-3517,EC-3517,Power Distribution Block 600V,Electrical Components,Electrical Components,43.8,73.0,A,4.5,14,13,0.9,True
EC-1102,EC-1102,Terminal Strip 12-Position,Electrical Components,Electrical Components,12.4,21.0,B,2.0,10,12,0.3,True
EC-1205,EC-1205,DIN Rail Mounted Timer,Electrical Components,Electrical Components,28.6,48.0,B,3.5,10,12,0.5,True
EC-1330,EC-1330,Panel Mount Indicator Light,Electrical Components,Electrical Components,8.9,15.0,B,1.5,10,9,0.2,True
EC-1455,EC-1455,Miniature Relay 24VDC,Electrical Components,Electrical Components,15.7,26.0,B,2.5,10,8,0.3,True
EC-1580,EC-1580,Wire Duct 2x2 6ft,Electrical Components,Electrical Components,22.3,37.0,B,4.0,10,22,1.2,True
EC-1610,EC-1610,Push Button Switch IP67,Electrical Components,Electrical Components,11.5,19.0,B,1.8,10,7,0.2,True
EC-1720,EC-1720,Cable Gland PG13.5,Electrical Components,Electrical Components,3.2,5.5,C,0.5,7,23,0.1,True
EC-1835,EC-1835,Fuse Holder 30A,Electrical Components,Electrical Components,6.8,11.5,C,1.0,7,18,0.15,True
EC-1940,EC-1940,Surge Protector DIN Rail,Electrical Components,Electrical Components,18.9,32.0,C,3.0,7,6,0.4,True
EC-2050,EC-2050,Conduit Fitting 3/4in,Electrical Components,Electrical Components,2.1,3.5,C,0.3,7,5,0.05,True
EC-2160,EC-2160,Wire Connector Assortment,Electrical Components,Electrical Components,7.4,12.5,C,1.2,7,7,0.2,True
EC-2275,EC-2275,EMI Filter 10A,Electrical Components,Electrical Components,24.5,41.0,C,3.8,7,11,0.6,True
EC-2380,EC-2380,Contactor 3-Pole 25A,Electrical Components,Electrical Components,52.3,87.0,C,7.5,7,12,1.4,True
EC-2490,EC-2490,Transformer 120/24V 100VA,Electrical Components,Electrical Components,38.7,65.0,C,5.5,7,21,2.8,True
EC-2595,EC-2595,Ground Bar Kit,Electrical Components,Electrical Components,9.6,16.0,C,1.5,7,24,0.3,True
EC-2680,EC-2680,Phase Monitor Relay,Electrical Components,Electrical Components,45.2,75.0,C,6.8,7,5,0.7,True
EC-2790,EC-2790,Disconnect Switch 60A,Electrical Components,Electrical Components,62.4,104.0,C,9.0,7,22,2.0,True
EC-2885,EC-2885,Control Relay Socket,Electrical Components,Electrical Components,5.3,9.0,C,0.8,7,11,0.1,True
EC-2970,EC-2970,LED Strip Light 24V 5m,Electrical Components,Electrical Components,16.8,28.0,C,2.5,7,25,0.4,True
EC-3100,EC-3100,Motor Starter DOL 10HP,Electrical Components,Electrical Components,89.5,149.0,C,13.0,7,22,3.5,True
PB-4010,PB-4010,Deep Groove Ball Bearing 6205,Precision Bearings,Precision Bearings,18.5,31.0,A,3.0,14,18,0.4,True
PB-4125,PB-4125,Tapered Roller Bearing 30206,Precision Bearings,Precision Bearings,34.2,57.0,A,5.5,14,12,0.8,True
PB-4230,PB-4230,Spherical Roller Bearing 22210,Precision Bearings,Precision Bearings,72.6,121.0,A,11.0,14,19,2.1,True
PB-4340,PB-4340,Angular Contact Bearing 7206,Precision Bearings,Precision Bearings,28.9,48.0,B,4.5,10,23,0.6,True
PB-4455,PB-4455,Needle Roller Bearing NK20/16,Precision Bearings,Precision Bearings,14.3,24.0,B,2.2,10,13,0.3,True
PB-4560,PB-4560,Thrust Ball Bearing 51105,Precision Bearings,Precision Bearings,11.8,20.0,B,1.8,10,5,0.25,True
PB-4675,PB-4675,Pillow Block Bearing UCP205,Precision Bearings,Precision Bearings,22.4,37.0,B,3.5,10,10,0.9,True
PB-4780,PB-4780,Linear Ball Bearing LM20UU,Precision Bearings,Precision Bearings,9.5,16.0,B,1.5,10,18,0.2,True
PB-4890,PB-4890,Flanged Bearing UCF206,Precision Bearings,Precision Bearings,26.7,45.0,B,4.2,10,15,1.0,True
PB-4995,PB-4995,Self-Aligning Bearing 1205,Precision Bearings,Precision Bearings,19.8,33.0,B,3.1,10,13,0.5,True
PB-5100,PB-5100,Cam Follower KR30,Precision Bearings,Precision Bearings,16.2,27.0,C,2.5,7,9,0.35,True
PB-5215,PB-5215,Rod End Bearing SA10,Precision Bearings,Precision Bearings,8.7,14.5,C,1.3,7,11,0.2,True
PB-5320,PB-5320,Insert Bearing UC205,Precision Bearings,Precision Bearings,13.6,23.0,C,2.1,7,15,0.4,True
PB-5430,PB-5430,Slewing Ring Bearing 110x200,Precision Bearings,Precision Bearings,245.0,409.0,C,38.0,7,8,12.5,True
PB-5540,PB-5540,Miniature Bearing 608ZZ,Precision Bearings,Precision Bearings,3.4,5.7,C,0.5,7,7,0.05,True
PB-5650,PB-5650,Plain Bearing Bush 20x23x20,Precision Bearings,Precision Bearings,4.8,8.0,C,0.7,7,17,0.08,True
PB-5760,PB-5760,Cross Roller Bearing RB3010,Precision Bearings,Precision Bearings,135.0,225.0,C,21.0,7,8,1.8,True
PB-5870,PB-5870,Combined Bearing 4.054,Precision Bearings,Precision Bearings,42.3,71.0,C,6.5,7,16,1.2,True
PB-5980,PB-5980,Track Roller LFR5201,Precision Bearings,Precision Bearings,15.9,26.5,C,2.4,7,16,0.3,True
PB-6090,PB-6090,Bearing Housing SNL510,Precision Bearings,Precision Bearings,58.4,97.0,C,9.0,7,24,4.5,True
PB-6195,PB-6195,Adapter Sleeve H2310,Precision Bearings,Precision Bearings,12.1,20.0,C,1.9,7,13,0.6,True
PB-6280,PB-6280,Withdrawal Sleeve AH2310,Precision Bearings,Precision Bearings,14.5,24.0,C,2.2,7,6,0.7,True
PB-6370,PB-6370,Bearing Lock Nut KM5,Precision Bearings,Precision Bearings,5.2,8.7,C,0.8,7,19,0.15,True
PB-6460,PB-6460,Bearing Seal Kit 6205,Precision Bearings,Precision Bearings,3.9,6.5,C,0.6,7,22,0.04,True
IF-7010,IF-7010,Hex Bolt M12x60 GR8.8 Box/50,Industrial Fasteners,Industrial Fasteners,32.5,54.0,A,5.0,14,8,2.8,True
IF-7125,IF-7125,Socket Head Cap Screw M10x40 Box/100,Industrial Fasteners,Industrial Fasteners,28.4,47.0,A,4.4,14,17,2.2,True
IF-7230,IF-7230,Structural Bolt A325 3/4x3 Box/25,Industrial Fasteners,Industrial Fasteners,45.6,76.0,A,7.0,14,7,3.5,True
IF-7340,IF-7340,Stainless Hex Bolt M8x30 Box/100,Industrial Fasteners,Industrial Fasteners,38.2,64.0,B,5.9,10,22,1.8,True
